,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Ginda,1,IN,1561933914,48,30.69,78.49,61.81,5.46
1,Georgetown,20,GY,1561933679,83,6.8,-58.16,82.4,16.11
2,Mataura,90,NZ,1561933917,76,-46.19,168.86,51.01,3.0
3,Bethel,90,US,1561933861,87,60.79,-161.76,55.4,12.75
4,Samana,75,EC,1561933919,74,0.12,-76.97,84.2,2.24
5,Biggar,15,CA,1561933920,53,52.06,-107.98,67.75,12.57
6,Ostrovnoy,60,RU,1561933921,77,68.05,39.51,39.49,9.62
7,Ushuaia,75,AR,1561933847,64,-54.81,-68.31,37.4,23.04
8,Punta Arenas,90,CL,1561933924,69,-53.16,-70.91,33.8,16.11
9,Tuktoyaktuk,75,CA,1561933925,70,69.44,-133.03,44.6,9.17
10,Mackay,40,CA,1561933926,37,53.65,-115.58,71.6,6.93
11,Cape Town,75,ZA,1561933927,93,-33.93,18.42,55.0,14.99
12,Chaiyaphum,100,TH,1561933929,90,15.81,102.03,73.87,6.06
13,Tilichiki,100,RU,1561933930,88,60.47,166.1,50.47,5.14
14,Hermanus,95,ZA,1561933931,78,-34.42,19.24,57.0,5.01
15,Busselton,90,AU,1561933933,75,-33.64,115.35,54.0,14.79
16,Atuona,84,PF,1561933934,71,-9.8,-139.03,80.53,10.04
17,Ponta do Sol,6,BR,1561933945,70,-20.63,-46.0,61.99,4.68
18,Sao Joao da Barra,0,BR,1561933832,83,-21.64,-41.05,75.2,13.87
19,Viedma,0,AR,1561933947,59,-40.81,-62.99,41.11,12.8
20,Barrow,5,AR,1561933948,77,-38.31,-60.23,39.31,8.77
21,Mahebourg,75,MU,1561933950,68,-20.41,57.7,69.8,11.41
22,Caravelas,0,BR,1561933951,88,-17.73,-39.27,73.69,5.66
23,Princeton,1,US,1561933952,49,38.36,-87.57,93.2,10.29
24,Cherskiy,100,RU,1561933953,91,68.75,161.3,38.95,5.95
25,Puerto Ayora,20,EC,1561933866,69,-0.74,-90.35,77.0,24.16
26,Longyearbyen,75,NO,1561933956,63,78.22,15.63,41.0,27.51
27,Solnechnyy,19,RU,1561933957,44,50.72,136.64,70.63,4.23
28,Labuhan,85,ID,1561933967,78,-2.54,115.51,75.85,0.72
29,Bredasdorp,70,ZA,1561933969,93,-34.53,20.04,57.0,3.36
30,Rikitea,21,PF,1561933970,58,-23.12,-134.97,69.55,10.54
31,Albany,75,US,1561933992,60,42.65,-73.75,75.2,10.29
32,Talnakh,0,RU,1561933993,76,69.49,88.39,50.0,13.42
33,Kapaa,40,US,1561933995,70,22.08,-159.32,84.2,11.41
34,Port Elizabeth,20,US,1561933999,37,39.31,-74.98,89.01,13.87
35,Hilo,90,US,1561934001,65,19.71,-155.08,82.4,14.99
36,Chokurdakh,94,RU,1561934002,47,70.62,147.9,51.01,8.1
37,Saskylakh,95,RU,1561934003,78,71.97,114.09,42.73,15.93
38,Sao Jose da Coroa Grande,2,BR,1561934004,94,-8.9,-35.15,70.81,3.96
39,Ulladulla,0,AU,1561934006,70,-35.36,150.48,44.6,12.75
40,Bluff,0,AU,1561934007,49,-23.58,149.07,68.65,10.0
41,Makakilo City,75,US,1561933944,83,21.35,-158.09,84.2,5.82
42,Lavrentiya,85,RU,1561934009,77,65.58,-170.99,47.23,11.16
43,Ashqelon,20,IL,1561933828,78,31.67,34.57,80.01,3.36
44,Qaanaaq,2,GL,1561934012,48,77.48,-69.36,51.19,1.83
45,Tiksi,100,RU,1561933934,79,71.64,128.87,41.47,10.47
46,Port Maria,20,JM,1561934014,58,18.37,-76.89,87.8,27.51
47,Kodiak,1,US,1561933861,52,39.95,-94.76,93.0,12.75
48,Tuatapere,71,NZ,1561934017,76,-46.13,167.69,51.01,3.0
49,Mitu,0,IR,1561934018,32,36.2,46.09,59.65,3.44
50,Sens,31,FR,1561934019,82,48.2,3.28,71.01,4.7
51,Griffith,59,AU,1561934020,100,-34.29,146.06,35.6,6.93
52,Fairbanks,75,US,1561934022,54,64.84,-147.72,81.0,11.41
53,Khatanga,31,RU,1561934023,60,71.98,102.47,52.09,9.78
54,Bambous Virieux,75,MU,1561934025,68,-20.34,57.76,69.8,11.41
55,Ahipara,51,NZ,1561934026,82,-35.17,173.16,60.55,8.48
56,Avarua,67,CK,1561933797,60,-21.21,-159.78,73.4,13.87
57,Kaitangata,100,NZ,1561934029,65,-46.28,169.85,50.0,1.99
58,Fortuna,20,US,1561933946,72,40.6,-124.16,66.99,14.99
59,Cabo San Lucas,5,MX,1561933993,54,22.89,-109.91,93.99,5.82
